Team,Won,Drawn,Lost
Liverpool,10,5,4
Burnley,1,4,14
Crystal Palace,6,3,10
Everton,4,6,9
Hull,1,3,15
Man City,12,2,5
Middlesbrough,1,7,11
Southampton,6,4,9
Arsenal,9,3,7
Bournemouth,3,6,10
Chelsea,13,3,3
Man United,10,5,4
Leicester,2,4,13
Stoke,4,5,10
Swansea,4,2,13
Tottenham,9,6,4
Watford,3,3,13
West Brom,3,7,9
Sunderland,3,1,15
West Ham,5,5,9
