Team,Won,Drawn,Lost
Liverpool,12,5,2
Burnley,10,3,6
Crystal Palace,6,2,11
Everton,13,4,2
Hull,8,4,7
Man City,11,7,1
Middlesbrough,4,6,9
Southampton,6,6,7
Arsenal,14,3,2
Bournemouth,9,4,6
Chelsea,17,0,2
Man United,8,10,1
Leicester,10,4,5
Stoke,7,6,6
Swansea,8,3,8
Tottenham,17,2,0
Watford,8,4,7
West Brom,9,2,8
Sunderland,3,5,11
West Ham,7,4,8
