Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR
E0,18/8/2001,Charlton,Everton,1,2,A,0,0,D,N. S. Barry,8,12,4,9,0,0,4,4,15,17,2,1,0,3,0,0
E0,18/8/2001,Derby,Blackburn,2,1,H,1,0,H,P. A. Durkin,7,14,3,4,0,0,4,10,14,15,3,1,1,0,0,0
E0,18/8/2001,Leeds,Southampton,2,0,H,0,0,D,C. R. Wilkes ,16,11,6,6,1,0,10,3,16,24,3,2,1,2,0,1
E0,18/8/2001,Leicester,Bolton,0,5,A,0,4,A,R. Styles,6,18,1,8,0,0,3,5,21,17,4,0,4,3,0,0
E0,18/8/2001,Liverpool,West Ham,2,1,H,1,1,D,J. T. Winter,9,3,6,3,1,0,5,3,13,12,0,6,1,5,0,0
E0,18/8/2001,Middlesbrough,Arsenal,0,4,A,0,1,A,G. P. Barber,6,14,2,9,0,0,2,6,13,19,4,0,2,3,1,1
E0,18/8/2001,Sunderland,Ipswich,1,0,H,1,0,H,G. Poll,12,10,6,4,0,0,1,1,22,20,5,5,0,1,0,0
E0,18/8/2001,Tottenham,Aston Villa,0,0,D,0,0,D,D. J. Gallagher,8,11,2,2,1,1,6,5,12,17,1,3,3,2,0,0
E0,19/8/2001,Chelsea,Newcastle,1,1,D,1,0,H,A. P. D'Urso ,13,9,8,3,0,0,12,7,19,20,2,3,3,4,0,0
E0,19/8/2001,Man United,Fulham,3,2,H,1,1,D,P. Jones ,12,8,6,5,1,0,6,4,17,19,10,3,0,1,0,0
E0,20/8/2001,Everton,Tottenham,1,1,D,0,1,A,D. R. Elleray ,18,7,11,2,1,0,8,0,15,12,3,1,3,2,0,2
E0,21/8/2001,Arsenal,Leeds,1,2,A,1,1,D,J. T. Winter ,14,5,5,2,0,0,10,2,28,29,2,2,4,5,0,2
E0,21/8/2001,Bolton,Middlesbrough,1,0,H,1,0,H,S. W. Dunn ,13,11,3,4,0,0,5,2,19,16,4,6,1,1,0,0
E0,21/8/2001,Ipswich,Derby,3,1,H,1,0,H,E. K. Wolstenholme ,30,2,18,2,0,0,19,2,21,14,2,5,0,3,0,1
E0,22/8/2001,Blackburn,Man United,2,2,D,0,1,A,A. G. Wiley ,12,18,5,7,2,2,3,8,18,16,4,7,2,1,1,0
E0,22/8/2001,Fulham,Sunderland,2,0,H,0,0,D,B. Knight ,13,8,5,3,0,0,8,9,18,20,3,4,0,2,0,0
E0,25/8/2001,Arsenal,Leicester,4,0,H,2,0,H,A. P. D'Urso ,20,2,11,0,0,0,9,0,14,20,3,1,1,4,1,1
E0,25/8/2001,Blackburn,Tottenham,2,1,H,1,0,H,S. G. Bennett,12,12,7,5,1,0,3,6,14,11,4,6,1,1,0,0
E0,25/8/2001,Everton,Middlesbrough,2,0,H,1,0,H,U. D. Rennie,7,5,5,1,0,0,3,6,25,23,4,3,2,1,0,0
E0,25/8/2001,Fulham,Derby,0,0,D,0,0,D,M. L Dean,10,9,1,2,0,0,11,3,12,14,0,2,2,3,0,0
E0,25/8/2001,Ipswich,Charlton,0,1,A,0,0,D,S. W. Dunn ,17,13,11,6,0,0,6,1,22,20,0,7,2,6,0,0
E0,25/8/2001,Southampton,Chelsea,0,2,A,0,1,A,D. R. Elleray ,8,7,2,2,0,0,6,2,13,18,6,5,0,1,0,0
E0,25/8/2001,West Ham,Leeds,0,0,D,0,0,D,P. A. Durkin ,11,10,3,4,0,0,5,8,19,14,3,4,3,2,0,0
E0,26/8/2001,Aston Villa,Man United,1,1,D,1,0,H,G. P. Barber ,11,13,4,7,0,0,5,5,9,12,4,4,0,2,0,0
E0,26/8/2001,Newcastle,Sunderland,1,1,D,1,1,D,M. A. Riley ,16,6,6,3,0,0,10,4,19,18,2,2,2,2,0,0
E0,27/8/2001,Bolton,Liverpool,2,1,H,1,0,H,G. Poll ,11,18,4,7,0,0,4,6,13,11,3,4,2,2,0,0
E0,8/9/2001,Chelsea,Arsenal,1,1,D,1,1,D,M. A. Riley ,10,14,5,11,0,0,5,6,20,20,1,3,1,5,1,0
